customerid,order_count,total_spend,customer_segment
ALFKI,6,4272.99999922961,"High-Value Repeat"
ANATR,4,1402.9499999999998,"High-Value One-Timer"
ANTON,7,7023.977485830337,"High-Value Repeat"
AROUT,13,13390.64999223873,"High-Value Repeat"
BERGS,18,24927.57748889215,"High-Value Repeat"
BLAUS,7,3239.8,"High-Value Repeat"
BLONP,11,18534.079984816908,"High-Value Repeat"
BOLID,3,4232.849999165535,"High-Value One-Timer"
BONAP,17,21963.25247431118,"High-Value Repeat"
BOTTM,14,20801.59999573082,"High-Value Repeat"
BSBEV,10,6089.900000000001,"High-Value Repeat"
CACTU,6,1814.8,"High-Value Repeat"
CENTC,1,100.8,"Regular Customer"
CHOPS,8,12348.879984985293,"High-Value Repeat"
COMMI,5,3810.75,"High-Value One-Timer"
CONSH,3,1719.1,"High-Value One-Timer"
DRACD,6,3763.21,"High-Value Repeat"
DUMON,4,1615.9,"High-Value One-Timer"
EASTC,8,14761.035000000002,"High-Value Repeat"
ERNSH,30,104874.97835350108,"High-Value Repeat"
FAMIA,7,4107.549989939481,"High-Value Repeat"
FOLIG,5,11666.9,"High-Value One-Timer"
FOLKO,19,29567.562475292383,"High-Value Repeat"
FRANK,15,26656.55946504615,"High-Value Repeat"
FRANR,3,3172.16,"High-Value One-Timer"
FRANS,6,1545.6999999999998,"High-Value Repeat"
FURIB,8,6427.422477791459,"High-Value Repeat"
GALED,5,836.7,"Regular Customer"
GODOS,10,11446.359995555877,"High-Value Repeat"
GOURL,9,8414.134992156029,"High-Value Repeat"
GREAL,11,18507.44997683935,"High-Value Repeat"
GROSR,2,1488.7,"High-Value One-Timer"
HANAR,14,32841.36997813582,"High-Value Repeat"
HILAA,18,22768.76398567528,"High-Value Repeat"
HUNGC,5,3063.2,"High-Value One-Timer"
HUNGO,19,49979.90494634077,"High-Value Repeat"
ISLAT,10,6146.3,"High-Value Repeat"
KOENE,14,30908.383968844264,"High-Value Repeat"
LACOR,4,1992.05,"High-Value One-Timer"
LAMAI,14,9328.1999892056,"High-Value Repeat"
LAUGB,3,522.5,"Regular Customer"
LAZYK,2,357,"Regular Customer"
LEHMS,15,19261.40997633904,"High-Value Repeat"
LETSS,4,3076.47249803111,"High-Value One-Timer"
LILAS,14,16076.59996958792,"High-Value Repeat"
LINOD,12,16476.564986549318,"High-Value Repeat"
LONEP,8,4258.6,"High-Value Repeat"
MAGAA,10,7176.214986810461,"High-Value Repeat"
MAISD,7,9736.074990512729,"High-Value Repeat"
MEREP,13,28872.18995035366,"High-Value Repeat"
MORGK,5,5042.200000000001,"High-Value One-Timer"
NORTS,3,649,"Regular Customer"
OCEAN,5,3460.2,"High-Value One-Timer"
OLDWO,10,15177.462481805682,"High-Value Repeat"
OTTIK,10,12496.199990973622,"High-Value Repeat"
PERIC,6,4242.200000000001,"High-Value Repeat"
PICCO,10,23128.859954281896,"High-Value Repeat"
PRINI,5,5044.939994502068,"High-Value One-Timer"
QUEDE,9,6664.809993437976,"High-Value Repeat"
QUEEN,13,25717.497473042273,"High-Value Repeat"
QUICK,28,110277.30488350891,"High-Value Repeat"
RANCH,5,2844.1000000000004,"High-Value One-Timer"
RATTC,18,51097.800487737826,"High-Value Repeat"
REGGC,12,7048.239992335439,"High-Value Repeat"
RICAR,11,12450.799992033839,"High-Value Repeat"
RICSU,10,19343.778986605033,"High-Value Repeat"
ROMEY,5,1467.29,"High-Value One-Timer"
SANTG,6,5735.15,"High-Value Repeat"
SAVEA,31,104361.94986812414,"High-Value Repeat"
SEVES,9,16215.324978799745,"High-Value Repeat"
SIMOB,7,16817.097494864836,"High-Value Repeat"
SPECD,4,2423.35,"High-Value One-Timer"
SPLIR,9,11441.629986421018,"High-Value Repeat"
SUPRD,12,24088.7799842298,"High-Value Repeat"
THEBI,4,3361,"High-Value One-Timer"
THECR,3,1947.24,"High-Value One-Timer"
TOMSP,6,4778.139997901023,"High-Value Repeat"
TORTU,10,10812.15,"High-Value Repeat"
TRADH,6,6850.663993146121,"High-Value Repeat"
TRAIH,3,1571.1999999999998,"High-Value One-Timer"
VAFFE,11,15843.924988323077,"High-Value Repeat"
VICTE,10,9182.429981769623,"High-Value Repeat"
VINET,5,1480,"High-Value One-Timer"
WANDK,10,9588.424988815561,"High-Value Repeat"
WARTH,15,15648.702469434587,"High-Value Repeat"
WELLI,9,6068.199995220452,"High-Value Repeat"
WHITC,14,27363.60497214645,"High-Value Repeat"
WILMK,7,3161.35,"High-Value Repeat"
WOLZA,7,3531.95,"High-Value Repeat"
