ProductName,Unit_Price,Units_In_Stock_Left,Total_Quantity_Sold,Total_Revenue
"Côte de Blaye",263.5000,17,623,141396.73
"Thüringer Rostbratwurst",123.7900,0,746,80368.67
"Raclette Courdavault",55.0000,79,1496,71155.7
"Tarte au sucre",49.3000,17,1083,47234.97
"Camembert Pierrot",34.0000,19,1577,46825.48
"Gnocchi di nonna Alice",38.0000,21,1263,42593.06
"Manjimup Dried Apples",53.0000,20,886,41819.65
"Alice Mutton",39.0000,0,978,32698.38
"Carnarvon Tigers",62.5000,42,539,29171.87
"Rössle Sauerkraut",45.6000,26,640,25696.64
"Mozzarella di Giovanni",34.8000,14,806,24900.13
"Ipoh Coffee",46.0000,17,580,23526.7
"Sir Rodney's Marmalade",81.0000,40,313,22563.36
"Uncle Bob's Organic Dried Pears",30.0000,15,763,22044.3
"Wimmers gute Semmelknödel",33.2500,22,740,21957.97
Gudbrandsdalsost,36.0000,26,714,21942.36
Ikura,31.0000,31,742,20867.34
"Perth Pasties",32.8000,0,722,20574.17
"Gumbär Gummibärchen",31.2300,15,753,19849.14
Fløtemysost,21.5000,26,1057,19551.02
"Boston Crab Meat",18.4000,123,1103,17910.63
"Pâté chinois",24.0000,115,903,17426.4
Pavlova,17.4500,29,1158,17215.78
Vegie-spread,43.9000,24,445,16701.09
Chang,19.0000,17,1057,16355.96
Lakkalikööri,18.0000,57,981,15760.44
"Schoggi Schokolade",43.9000,49,365,15099.88
"Gorgonzola Telino",12.5000,0,1397,14920.87
"Sirop d'érable",28.5000,113,603,14352.6
"Louisiana Fiery Hot Pepper Sauce",21.0500,76,745,13869.89
"Steeleye Stout",18.0000,20,883,13644
"Inlagd Sill",19.0000,112,805,13458.46
"Nord-Ost Matjeshering",25.8900,10,612,13424.2
"Queso Cabrales",21.0000,22,706,12901.77
Chai,18.0000,39,828,12788.1
"Northwoods Cranberry Sauce",40.0000,6,372,12772
"Chartreuse verte",18.0000,69,793,12294.54
"Queso Manchego La Pastora",38.0000,86,344,12257.66
"Outback Lager",15.0000,15,817,10672.65
"Gula Malacca",19.4500,27,601,9915.94
Maxilaku,20.0000,10,520,9244.6
"Original Frankfurter grüne Soße",13.0000,32,791,9171.63
"Sir Rodney's Scones",10.0000,3,1016,9104
"Scottish Longbreads",12.5000,6,799,8714
"Jack's New England Clam Chowder",9.6500,85,981,8680.34
"Singaporean Hokkien Fried Mee",14.0000,26,697,8575
"Chef Anton's Cajun Seasoning",22.0000,53,453,8567.9
"Mascarpone Fabioli",32.0000,9,297,8404.16
"Rhönbräu Klosterbier",7.7500,125,1155,8177.49
Tofu,23.2500,35,404,7991.49
"Ravioli Angelo",19.5000,36,434,7661.55
"Mishi Kobe Niku",97.0000,29,95,7226.5
"Grandma's Boysenberry Spread",25.0000,120,301,7137
"Gustaf's Knäckebröd",21.0000,104,348,7122.36
"Sasquatch Ale",14.0000,111,506,6350.4
Spegesild,12.0000,95,548,5883
"Escargots de Bourgogne",13.2500,62,534,5881.67
"Teatime Chocolate Biscuits",9.2000,25,723,5862.62
"Chef Anton's Gumbo Mix",21.3500,0,298,5347.2
Konbu,6.0000,24,891,4960.44
Tourtière,7.4500,21,755,4728.24
Tunnbröd,9.0000,61,580,4601.7
"Guaraná Fantástica",4.5000,20,1125,4504.36
"Røgede sild",9.5000,5,508,4338.17
"Röd Kaviar",15.0000,101,293,3997.2
"Zaanse koeken",9.5000,36,485,3958.08
"NuNuCa Nuß-Nougat-Creme",14.0000,76,318,3704.4
"Valkoinen suklaa",16.2500,65,235,3437.69
"Louisiana Hot Spiced Okra",17.0000,4,239,3383
"Filo Mix",7.0000,38,500,3232.95
"Aniseed Syrup",10.0000,13,328,3044
"Gravad lax",26.0000,11,125,2688.4
"Longlife Tofu",10.0000,4,297,2432.5
"Laughing Lumberjack Lager",14.0000,52,184,2396.8
"Genen Shouyu",15.5000,39,122,1784.82
Geitost,2.5000,112,755,1648.12
Chocolade,12.7500,15,138,1368.71
