ProductID,order_year,order_month,month_start,season,monthly_units,monthly_revenue,seasonal_units,seasonal_revenue,mom_pct_change,seasonal_index
1,1994,9,1994-09-01,Autumn,63,777.6,83,1065.6,NULL,1.37
1,1994,10,1994-10-01,Autumn,20,288,83,1065.6,-68.25,0.43
1,1994,12,1994-12-01,Winter,27,356.4,27,356.4,35.00,0.59
1,1995,1,1995-01-01,Winter,15,183.6,107,1717.2,-44.44,0.33
1,1995,2,1995-02-01,Winter,34,489.6,107,1717.2,126.67,0.74
1,1995,4,1995-04-01,Spring,15,216,55,792,-55.88,0.33
1,1995,5,1995-05-01,Spring,40,576,55,792,166.67,0.87
1,1995,6,1995-06-01,Summer,8,122.4,47,824.4,-80.00,0.17
1,1995,7,1995-07-01,Summer,10,180,47,824.4,25.00,0.22
1,1995,8,1995-08-01,Summer,29,522,47,824.4,190.00,0.63
1,1995,9,1995-09-01,Autumn,40,652.5,110,1737,37.93,0.87
1,1995,11,1995-11-01,Autumn,70,1084.5,110,1737,75.00,1.52
1,1995,12,1995-12-01,Winter,58,1044,107,1717.2,-17.14,1.26
1,1996,2,1996-02-01,Winter,84,1206,84,1206,44.83,1.83
1,1996,3,1996-03-01,Spring,90,1548,275,4477.5,7.14,1.96
1,1996,4,1996-04-01,Spring,81,1188,275,4477.5,-10.00,1.76
1,1996,5,1996-05-01,Spring,104,1741.5,275,4477.5,28.40,2.26
1,1996,6,1996-06-01,Summer,40,612,40,612,-61.54,0.87
2,1994,8,1994-08-01,Summer,105,1444,105,1444,NULL,1.79
2,1994,10,1994-10-01,Autumn,40,608,96,1288.96,-61.90,0.68
2,1994,11,1994-11-01,Autumn,56,680.96,96,1288.96,40.00,0.95
2,1995,1,1995-01-01,Winter,25,285,100,1425,-55.36,0.43
2,1995,2,1995-02-01,Winter,60,912,100,1425,140.00,1.02
2,1995,3,1995-03-01,Spring,55,733.4,127,1751.8,-8.33,0.94
2,1995,4,1995-04-01,Spring,60,790.4,127,1751.8,9.09,1.02
2,1995,5,1995-05-01,Spring,12,228,127,1751.8,-80.00,0.20
2,1995,8,1995-08-01,Summer,10,190,10,190,-16.67,0.17
2,1995,9,1995-09-01,Autumn,100,1871.5,138,2451,900.00,1.70
2,1995,11,1995-11-01,Autumn,38,579.5,138,2451,-62.00,0.65
2,1995,12,1995-12-01,Winter,15,228,100,1425,-60.53,0.26
2,1996,1,1996-01-01,Winter,85,1505.75,147,2633.4,466.67,1.45
2,1996,2,1996-02-01,Winter,62,1127.65,147,2633.4,-27.06,1.06
2,1996,3,1996-03-01,Spring,61,1059.25,272,4170.5,-1.61,1.04
2,1996,4,1996-04-01,Spring,10,161.5,272,4170.5,-83.61,0.17
2,1996,5,1996-05-01,Spring,201,2949.75,272,4170.5,1910.00,3.42
2,1996,6,1996-06-01,Summer,62,1001.3,62,1001.3,-69.15,1.06
3,1994,9,1994-09-01,Autumn,30,240,30,240,NULL,1.01
3,1995,2,1995-02-01,Winter,50,400,70,600,66.67,1.68
3,1995,4,1995-04-01,Spring,20,144,20,144,-60.00,0.67
3,1995,6,1995-06-01,Summer,60,600,74,740,200.00,2.01
3,1995,8,1995-08-01,Summer,14,140,74,740,-76.67,0.47
3,1995,11,1995-11-01,Autumn,6,60,6,60,-57.14,0.20
3,1995,12,1995-12-01,Winter,20,200,70,600,233.33,0.67
3,1996,1,1996-01-01,Winter,20,180,99,970,0.00,0.67
3,1996,2,1996-02-01,Winter,79,790,99,970,295.00,2.65
3,1996,5,1996-05-01,Spring,25,250,25,250,-68.35,0.84
3,1996,6,1996-06-01,Summer,4,40,4,40,-84.00,0.13
4,1994,10,1994-10-01,Autumn,20,352,72,1235.52,NULL,0.71
4,1994,11,1994-11-01,Autumn,52,883.52,72,1235.52,160.00,1.84
4,1994,12,1994-12-01,Winter,35,616,35,616,-32.69,1.24
4,1995,4,1995-04-01,Spring,16,225.28,66,1160.28,-54.29,0.57
4,1995,5,1995-05-01,Spring,50,935,66,1160.28,212.50,1.77
4,1995,6,1995-06-01,Summer,100,2035,120,2387,100.00,3.53
4,1995,8,1995-08-01,Summer,20,352,120,2387,-80.00,0.71
4,1995,9,1995-09-01,Autumn,35,748,53,1117.6,75.00,1.24
4,1995,10,1995-10-01,Autumn,12,237.6,53,1117.6,-65.71,0.42
4,1995,11,1995-11-01,Autumn,6,132,53,1117.6,-50.00,0.21
4,1995,12,1995-12-01,Winter,25,550,25,550,316.67,0.88
4,1996,2,1996-02-01,Winter,21,462,21,462,-16.00,0.74
4,1996,3,1996-03-01,Spring,30,495,60,1017.5,42.86,1.06
4,1996,4,1996-04-01,Spring,5,110,60,1017.5,-83.33,0.18
4,1996,5,1996-05-01,Spring,25,412.5,60,1017.5,400.00,0.88
4,1996,6,1996-06-01,Summer,1,22,1,22,-96.00,0.04
5,1994,8,1994-08-01,Summer,77,1047.2,77,1047.2,NULL,2.07
