ProductID,ProductName,month,revenue,stat_anomaly,prev_year_revenue,yoy_anomaly
1,Chai,1996-02-01,1512.0000,"No Anomaly",288.0000,"YoY Anomaly (>50% change)"
1,Chai,1996-03-01,1620.0000,"No Anomaly",388.8000,"YoY Anomaly (>50% change)"
1,Chai,1996-04-01,1458.0000,"No Anomaly",216.0000,"YoY Anomaly (>50% change)"
1,Chai,1996-05-01,1872.0000,"High Anomaly",489.6000,"YoY Anomaly (>50% change)"
1,Chai,1996-06-01,720.0000,"No Anomaly",216.0000,"YoY Anomaly (>50% change)"
2,Chang,1996-02-01,1178.0000,"No Anomaly",608.0000,"YoY Anomaly (>50% change)"
2,Chang,1996-05-01,3819.0000,"High Anomaly",912.0000,"YoY Anomaly (>50% change)"
3,"Aniseed Syrup",1996-02-01,790.0000,"High Anomaly",NULL,"No Anomaly"
4,"Chef Anton's Cajun Seasoning",1995-06-01,2200.0000,"High Anomaly",NULL,"No Anomaly"
4,"Chef Anton's Cajun Seasoning",1996-03-01,660.0000,"No Anomaly",352.0000,"YoY Anomaly (>50% change)"
4,"Chef Anton's Cajun Seasoning",1996-04-01,110.0000,"No Anomaly",915.2000,"YoY Anomaly (>50% change)"
4,"Chef Anton's Cajun Seasoning",1996-06-01,22.0000,"No Anomaly",281.6000,"YoY Anomaly (>50% change)"
5,"Chef Anton's Gumbo Mix",1996-05-01,2135.0000,"High Anomaly",NULL,"No Anomaly"
7,"Uncle Bob's Organic Dried Pears",1996-04-01,6510.0000,"High Anomaly",360.0000,"YoY Anomaly (>50% change)"
7,"Uncle Bob's Organic Dried Pears",1996-05-01,3720.0000,"No Anomaly",240.0000,"YoY Anomaly (>50% change)"
8,"Northwoods Cranberry Sauce",1994-12-01,4480.0000,"High Anomaly",NULL,"No Anomaly"
10,Ikura,1996-01-01,1612.0000,"No Anomaly",967.2000,"YoY Anomaly (>50% change)"
10,Ikura,1996-02-01,4061.0000,"High Anomaly",744.0000,"YoY Anomaly (>50% change)"
10,Ikura,1996-03-01,2480.0000,"No Anomaly",396.8000,"YoY Anomaly (>50% change)"
10,Ikura,1996-04-01,2325.0000,"No Anomaly",843.2000,"YoY Anomaly (>50% change)"
10,Ikura,1996-06-01,31.0000,"No Anomaly",496.0000,"YoY Anomaly (>50% change)"
11,"Queso Cabrales",1996-01-01,1785.0000,"No Anomaly",201.6000,"YoY Anomaly (>50% change)"
11,"Queso Cabrales",1996-03-01,2415.0000,"High Anomaly",604.8000,"YoY Anomaly (>50% change)"
11,"Queso Cabrales",1996-04-01,1092.0000,"No Anomaly",504.0000,"YoY Anomaly (>50% change)"
11,"Queso Cabrales",1996-05-01,210.0000,"No Anomaly",705.6000,"YoY Anomaly (>50% change)"
11,"Queso Cabrales",1996-06-01,210.0000,"No Anomaly",504.0000,"YoY Anomaly (>50% change)"
12,"Queso Manchego La Pastora",1995-10-01,3800.0000,"High Anomaly",NULL,"No Anomaly"
13,Konbu,1996-03-01,438.0000,"No Anomaly",144.0000,"YoY Anomaly (>50% change)"
13,Konbu,1996-04-01,1728.0000,"High Anomaly",57.6000,"YoY Anomaly (>50% change)"
13,Konbu,1996-05-01,1158.0000,"No Anomaly",230.4000,"YoY Anomaly (>50% change)"
13,Konbu,1996-06-01,84.0000,"No Anomaly",9.6000,"YoY Anomaly (>50% change)"
15,"Genen Shouyu",1995-10-01,775.0000,"High Anomaly",NULL,"No Anomaly"
16,Pavlova,1996-01-01,1483.2500,"No Anomaly",291.9000,"YoY Anomaly (>50% change)"
16,Pavlova,1996-03-01,1099.3500,"No Anomaly",291.9000,"YoY Anomaly (>50% change)"
16,Pavlova,1996-04-01,3018.8500,"High Anomaly",1181.5000,"YoY Anomaly (>50% change)"
16,Pavlova,1996-05-01,52.3500,"No Anomaly",736.7000,"YoY Anomaly (>50% change)"
17,"Alice Mutton",1996-01-01,4212.0000,"No Anomaly",936.0000,"YoY Anomaly (>50% change)"
17,"Alice Mutton",1996-02-01,234.0000,"No Anomaly",1248.0000,"YoY Anomaly (>50% change)"
17,"Alice Mutton",1996-05-01,3471.0000,"No Anomaly",62.4000,"YoY Anomaly (>50% change)"
18,"Carnarvon Tigers",1995-09-01,5125.0000,"High Anomaly",NULL,"No Anomaly"
