Country,supplier_count,avg_price,min_price,max_price,price_variability
USA,4,20.87,9.65,40.00,7.73
Germany,3,37.60,7.75,123.79,32.97
France,3,76.75,13.25,263.50,94.51
UK,2,22.81,9.20,81.00,24.03
Canada,2,27.31,7.45,49.30,14.92
Italy,2,27.36,12.50,38.00,9.72
Japan,2,30.46,6.00,97.00,30.88
Australia,2,33.83,7.00,62.50,18.24
Brazil,1,4.50,4.50,4.50,0
Denmark,1,10.75,9.50,12.00,1.25
Netherlands,1,11.13,9.50,12.75,1.62
"Sweden ",1,15.00,9.00,21.00,6
Finland,1,18.08,16.25,20.00,1.53
Norway,1,20.00,2.50,36.00,13.72
Sweden,1,20.00,15.00,26.00,4.55
Singapore,1,26.48,14.00,46.00,13.98
Spain,1,29.50,21.00,38.00,8.5
