customerid,total_spend,order_count,top_category
ALFKI,4272.99999922961,6,Condiments
ANATR,1402.95,4,"Dairy Products"
ANTON,7023.977485830336,7,"Dairy Products"
AROUT,13390.64999223873,13,Grains/Cereals
BERGS,24927.57748889215,18,Beverages
BLAUS,3239.8,7,Confections
BLONP,18534.07998481691,11,Beverages
BOLID,4232.849999165535,3,Grains/Cereals
BONAP,21963.25247431118,17,Seafood
BOTTM,20801.599995730816,14,"Dairy Products"
BSBEV,6089.9,10,Seafood
CACTU,1814.8,6,Beverages
CENTC,100.8,1,Seafood
CHOPS,12348.879984985291,8,Grains/Cereals
COMMI,3810.75,5,Condiments
CONSH,1719.1,3,Grains/Cereals
DRACD,3763.21,6,"Dairy Products"
DUMON,1615.8999999999999,4,Grains/Cereals
EASTC,14761.035,8,"Dairy Products"
ERNSH,104874.97835350106,30,"Dairy Products"
FAMIA,4107.549989939482,7,Beverages
FOLIG,11666.9,5,Confections
FOLKO,29567.562475292383,19,Beverages
FRANK,26656.55946504615,15,"Dairy Products"
FRANR,3172.16,3,Confections
FRANS,1545.7,6,Confections
FURIB,6427.422477791459,8,Condiments
GALED,836.7,5,Condiments
GODOS,11446.359995555878,10,Confections
GOURL,8414.134992156029,9,"Dairy Products"
GREAL,18507.44997683935,11,"Dairy Products"
GROSR,1488.7,2,"Dairy Products"
HANAR,32841.36997813582,14,Beverages
HILAA,22768.763985675276,18,Beverages
HUNGC,3063.2,5,Meat/Poultry
HUNGO,49979.90494634077,19,"Dairy Products"
ISLAT,6146.3,10,Beverages
KOENE,30908.383968844264,14,Confections
LACOR,1992.0500000000002,4,Beverages
LAMAI,9328.199989205597,14,Beverages
LAUGB,522.5,3,Seafood
LAZYK,357,2,Seafood
LEHMS,19261.409976339044,15,"Dairy Products"
LETSS,3076.47249803111,4,Condiments
LILAS,16076.59996958792,14,"Dairy Products"
LINOD,16476.564986549318,12,Confections
LONEP,4258.6,8,Beverages
MAGAA,7176.214986810461,10,Beverages
MAISD,9736.074990512729,7,Confections
MEREP,28872.189950353655,13,Confections
MORGK,5042.2,5,Confections
NORTS,649,3,Beverages
OCEAN,3460.2,5,"Dairy Products"
OLDWO,15177.462481805682,10,Confections
OTTIK,12496.199990973622,10,Seafood
PERIC,4242.200000000001,6,Beverages
PICCO,23128.859954281896,10,"Dairy Products"
PRINI,5044.939994502068,5,Beverages
QUEDE,6664.809993437976,9,Condiments
QUEEN,25717.497473042273,13,Beverages
QUICK,110277.30488350891,28,Beverages
RANCH,2844.1,5,Confections
RATTC,51097.80048773782,18,"Dairy Products"
REGGC,7048.239992335439,12,"Dairy Products"
RICAR,12450.799992033839,11,Confections
RICSU,19343.778986605037,10,Seafood
ROMEY,1467.29,5,Seafood
SANTG,5735.150000000001,6,Beverages
SAVEA,104361.94986812412,31,Seafood
SEVES,16215.324978799745,9,"Dairy Products"
SIMOB,16817.097494864836,7,Confections
SPECD,2423.35,4,"Dairy Products"
SPLIR,11441.62998642102,9,Confections
SUPRD,24088.7799842298,12,Beverages
THEBI,3361,4,Confections
THECR,1947.24,3,Seafood
TOMSP,4778.139997901022,6,Confections
TORTU,10812.15,10,Beverages
TRADH,6850.663993146121,6,"Dairy Products"
TRAIH,1571.2,3,Beverages
VAFFE,15843.924988323077,11,Condiments
VICTE,9182.429981769621,10,Produce
VINET,1480,5,"Dairy Products"
WANDK,9588.424988815561,10,"Dairy Products"
WARTH,15648.702469434587,15,"Dairy Products"
WELLI,6068.199995220453,9,Beverages
WHITC,27363.60497214645,14,Confections
WILMK,3161.35,7,Beverages
WOLZA,3531.95,7,Beverages
