categoryname,productname,total_revenue
Beverages,"Côte de Blaye",141396.73
Beverages,"Ipoh Coffee",23526.7
Beverages,Chang,16355.96
Beverages,Lakkalikööri,15760.44
Beverages,"Steeleye Stout",13644
Beverages,Chai,12788.1
Beverages,"Chartreuse verte",12294.54
Beverages,"Outback Lager",10672.65
Beverages,"Rhönbräu Klosterbier",8177.49
Beverages,"Sasquatch Ale",6350.4
Beverages,"Guaraná Fantástica",4504.36
Beverages,"Laughing Lumberjack Lager",2396.8
Condiments,Vegie-spread,16701.09
Condiments,"Sirop d'érable",14352.6
Condiments,"Louisiana Fiery Hot Pepper Sauce",13869.89
Condiments,"Northwoods Cranberry Sauce",12772
Condiments,"Gula Malacca",9915.94
Condiments,"Original Frankfurter grüne Soße",9171.63
Condiments,"Chef Anton's Cajun Seasoning",8567.9
Condiments,"Grandma's Boysenberry Spread",7137
Condiments,"Chef Anton's Gumbo Mix",5347.2
Condiments,"Louisiana Hot Spiced Okra",3383
Condiments,"Aniseed Syrup",3044
Condiments,"Genen Shouyu",1784.82
Confections,"Tarte au sucre",47234.97
Confections,"Sir Rodney's Marmalade",22563.36
Confections,"Gumbär Gummibärchen",19849.14
Confections,Pavlova,17215.78
Confections,"Schoggi Schokolade",15099.88
Confections,Maxilaku,9244.6
Confections,"Sir Rodney's Scones",9104
Confections,"Scottish Longbreads",8714
Confections,"Teatime Chocolate Biscuits",5862.62
Confections,"Zaanse koeken",3958.08
Confections,"NuNuCa Nuß-Nougat-Creme",3704.4
Confections,"Valkoinen suklaa",3437.69
Confections,Chocolade,1368.71
"Dairy Products","Raclette Courdavault",71155.7
"Dairy Products","Camembert Pierrot",46825.48
"Dairy Products","Mozzarella di Giovanni",24900.13
"Dairy Products",Gudbrandsdalsost,21942.36
"Dairy Products",Fløtemysost,19551.02
"Dairy Products","Gorgonzola Telino",14920.87
"Dairy Products","Queso Cabrales",12901.77
"Dairy Products","Queso Manchego La Pastora",12257.66
"Dairy Products","Mascarpone Fabioli",8404.16
"Dairy Products",Geitost,1648.12
Grains/Cereals,"Gnocchi di nonna Alice",42593.06
Grains/Cereals,"Wimmers gute Semmelknödel",21957.97
Grains/Cereals,"Singaporean Hokkien Fried Mee",8575
Grains/Cereals,"Ravioli Angelo",7661.55
Grains/Cereals,"Gustaf's Knäckebröd",7122.36
Grains/Cereals,Tunnbröd,4601.7
Grains/Cereals,"Filo Mix",3232.95
Meat/Poultry,"Thüringer Rostbratwurst",80368.67
Meat/Poultry,"Alice Mutton",32698.38
Meat/Poultry,"Perth Pasties",20574.17
Meat/Poultry,"Pâté chinois",17426.4
Meat/Poultry,"Mishi Kobe Niku",7226.5
Meat/Poultry,Tourtière,4728.24
Produce,"Manjimup Dried Apples",41819.65
Produce,"Rössle Sauerkraut",25696.64
Produce,"Uncle Bob's Organic Dried Pears",22044.3
Produce,Tofu,7991.49
Produce,"Longlife Tofu",2432.5
Seafood,"Carnarvon Tigers",29171.87
Seafood,Ikura,20867.34
Seafood,"Boston Crab Meat",17910.63
Seafood,"Inlagd Sill",13458.46
Seafood,"Nord-Ost Matjeshering",13424.2
Seafood,"Jack's New England Clam Chowder",8680.34
Seafood,Spegesild,5883
Seafood,"Escargots de Bourgogne",5881.67
Seafood,Konbu,4960.44
Seafood,"Røgede sild",4338.17
Seafood,"Röd Kaviar",3997.2
Seafood,"Gravad lax",2688.4
