CustomerCountry,CategoryName,TotalOrders,TotalRevenue
Argentina,Confections,8,2135.1000
Argentina,Beverages,6,1798.0000
Argentina,"Dairy Products",6,1143.5000
Argentina,Produce,4,1139.0000
Argentina,Condiments,3,907.0000
Argentina,Seafood,5,606.5000
Argentina,Grains/Cereals,1,390.0000
Austria,"Dairy Products",23,30342.9000
Austria,Beverages,20,26452.0500
Austria,Condiments,15,16802.4000
Austria,Grains/Cereals,12,14854.2500
Austria,Confections,12,14653.3500
Austria,Produce,9,13755.9500
Austria,Meat/Poultry,9,12001.4800
Austria,Seafood,11,10634.2500
Belgium,"Dairy Products",8,8825.0000
Belgium,Confections,8,7711.1800
Belgium,Beverages,8,5864.4000
Belgium,Grains/Cereals,7,3226.0000
Belgium,Produce,4,3223.2000
Belgium,Condiments,5,2714.7000
Belgium,Meat/Poultry,4,2258.5000
Belgium,Seafood,5,1312.0000
Brazil,Beverages,37,40400.5000
Brazil,"Dairy Products",28,16894.5000
Brazil,Seafood,32,13338.4800
Brazil,Confections,30,12164.7300
Brazil,Condiments,23,12139.0000
Brazil,Meat/Poultry,13,8008.1200
Brazil,Grains/Cereals,14,6638.0000
Brazil,Produce,7,5385.1500
Canada,Beverages,10,13829.7000
Canada,"Dairy Products",10,10102.0000
Canada,Confections,15,9302.4000
Canada,Grains/Cereals,10,5765.1000
Canada,Condiments,10,5010.6000
Canada,Seafood,8,4946.3000
Canada,Meat/Poultry,4,4266.0000
Canada,Produce,3,2112.0000
Denmark,Beverages,7,12025.7000
Denmark,Produce,3,4626.0000
Denmark,Condiments,9,4455.4000
Denmark,Seafood,8,4300.9500
Denmark,Meat/Poultry,4,3700.7000
Denmark,Confections,7,2815.3000
Denmark,"Dairy Products",4,2753.2000
Denmark,Grains/Cereals,1,105.0000
Finland,"Dairy Products",9,6027.8000
Finland,Meat/Poultry,6,3345.2500
Finland,Grains/Cereals,5,2800.0000
Finland,Beverages,9,2222.0000
Finland,Condiments,5,1873.0000
Finland,Seafood,6,1316.3000
Finland,Produce,5,1161.0500
Finland,Confections,6,1033.0500
France,Seafood,30,15739.4000
France,Beverages,32,13670.0000
France,Confections,26,13215.8500
France,Meat/Poultry,13,11142.9600
France,"Dairy Products",21,9318.9000
France,Produce,14,8769.8000
France,Condiments,12,7148.4000
France,Grains/Cereals,18,6493.4500
Germany,Beverages,51,57644.6000
Germany,"Dairy Products",50,53170.9000
Germany,Confections,44,37799.4400
Germany,Seafood,43,24154.1000
Germany,Meat/Poultry,23,22607.4400
Germany,Condiments,30,17395.1000
Germany,Produce,19,17265.9000
Germany,Grains/Cereals,23,14603.1500
Ireland,Meat/Poultry,5,24040.9000
Ireland,"Dairy Products",10,11093.4000
Ireland,Seafood,10,7941.8900
Ireland,Condiments,5,3898.5000
Ireland,Produce,3,3821.7000
Ireland,Beverages,9,3339.4000
Ireland,Confections,3,1739.2000
Ireland,Grains/Cereals,3,1442.4000
Italy,"Dairy Products",8,4376.8000
Italy,Confections,8,2787.7000
Italy,Produce,5,2216.8000
Italy,Grains/Cereals,5,1794.0000
Italy,Seafood,8,1759.6000
Italy,Condiments,5,1448.2500
Italy,Meat/Poultry,3,1167.0000
Italy,Beverages,6,1155.0000
Mexico,Beverages,15,8097.5000
Mexico,"Dairy Products",14,4912.4000
Mexico,Meat/Poultry,5,2828.9000
Mexico,Produce,4,2517.7500
Mexico,Confections,7,2066.9500
Mexico,Seafood,8,1855.0000
Mexico,Condiments,5,1235.4500
Mexico,Grains/Cereals,4,559.5000
Norway,Beverages,3,2756.0000
Norway,Seafood,3,936.6000
Norway,"Dairy Products",1,786.0000
Norway,Produce,2,578.4000
Norway,Confections,2,280.1500
Norway,Condiments,1,234.0000
Norway,Meat/Poultry,1,164.0000
Poland,Beverages,4,828.5000
Poland,"Dairy Products",2,810.0000
Poland,Confections,2,779.1000
Poland,Condiments,2,627.0000
Poland,Produce,2,306.0000
Poland,Seafood,1,159.0000
Poland,Meat/Poultry,1,22.3500
Portugal,Condiments,7,3869.4500
Portugal,Grains/Cereals,4,2415.2000
Portugal,Meat/Poultry,2,1355.9000
Portugal,Beverages,5,1190.4000
Portugal,Confections,5,1122.5000
Portugal,"Dairy Products",3,1008.0000
Portugal,Produce,1,763.2000
Portugal,Seafood,1,744.0000
Spain,Meat/Poultry,7,7919.1000
Spain,Produce,1,2120.0000
Spain,Seafood,8,1942.0900
Spain,Grains/Cereals,7,1843.0000
Spain,Confections,9,1809.0500
Spain,Condiments,5,1789.4500
Spain,Beverages,7,1363.2000
Spain,"Dairy Products",2,646.0000
Sweden,Beverages,23,13407.0500
Sweden,Meat/Poultry,10,9625.9500
Sweden,Produce,6,9116.0000
Sweden,Seafood,15,6893.5500
Sweden,"Dairy Products",11,6585.2000
Sweden,Confections,10,5675.6500
Sweden,Condiments,8,4970.3000
Sweden,Grains/Cereals,4,3250.0000
Switzerland,"Dairy Products",7,7747.3000
Switzerland,Meat/Poultry,3,7155.6400
Switzerland,Grains/Cereals,7,4931.0000
Switzerland,Confections,6,3246.1600
Switzerland,Seafood,9,3191.6000
Switzerland,Beverages,7,2357.5000
Switzerland,Produce,4,2236.0000
Switzerland,Condiments,3,2054.3000
UK,"Dairy Products",23,14553.7000
UK,Confections,16,9223.2600
UK,Produce,10,8142.8000
UK,Beverages,24,7596.2000
UK,Meat/Poultry,9,6445.1500
UK,Grains/Cereals,18,5195.2000
UK,Seafood,16,4884.1500
UK,Condiments,8,4576.0500
USA,Beverages,51,63361.1500
USA,Meat/Poultry,33,45394.0600
USA,"Dairy Products",45,41549.3000
USA,Confections,54,38804.0500
USA,Seafood,42,25025.3700
USA,Grains/Cereals,30,20411.3000
USA,Condiments,24,18555.8500
USA,Produce,16,10465.9000
Venezuela,"Dairy Products",18,18683.7000
Venezuela,Seafood,22,9941.9600
Venezuela,Confections,17,8734.9300
Venezuela,Beverages,20,7168.1000
Venezuela,Produce,7,5546.0000
Venezuela,Meat/Poultry,6,4739.4000
Venezuela,Grains/Cereals,9,4010.2500
Venezuela,Condiments,8,1990.5500
